"id","name"
"204887","CRU U13B 2025"
"204889","SAM2 (Developmental) 2025"
"204890","CRU U15G 2025"
"204893","SAM3 (Recreational) 2025"
"204894","SAW2 (Developmental) 2025"
"204503","Metro SR Boys"
"204974","CRU U15B 2025"
"205248","ERU MEN PRESEASON"
"205291","U13 Boys - 10s"
"205598","ERU Men's 2nd Division"
"205599","ERU Women's 2nd Division"
"205632","Old Boys Red Deer League"
"201578","Alberta Regional Championship Sevens Girls 2025"
"202550","Alberta Cup"
"202747","ARC 15s Boys U17"
"202779","ARC 15s Girls U17"
"202780","ARC 15s Boys U19"
"203434","Alberta Women's Premier"
"201163","Alberta Regional Championship Sevens Boys"
"203685","ARC 15s Girls U19"
