"id","name"
"198482","Age Grade Exhibition Games"
"205507","Blue-Gold Series"
"205455","PRL"
"203983","Kootenays"
"202895","Central Interior"
"202891","Okanagan League"
"202121","U14 Boys Mainland Spring"
"202119","U14 Island Girls Spring"
"202118","U14 Island Boys Spring"
"200919","2025 CanWest 7s Series"
"200901","Age Grade Club Finals"
"197485","Mens Premier"
"198475","Mens Exhibition"
"198269","Womens Exhbition Games"
"197756","Womens Division 2"
"197755","Mens Division 3"
"197641","Womens Division 1"
"197625","Mens Division 2"
"197562","Mens Division 1"
"197527","Womens Premier"
"197525","CanWest XVs"
