"league_id","team_id","pos","gp","w","d","l","pf","pa","diff","tf","ta","td","pts"
"198482","54867","1","6","5","0","1","263","54","209","43","8","35","24"
"198482","54861","2","6","4","0","2","103","212","-109","13","32","-19","18"
"198482","54862","3","8","2","1","5","168","185","-17","26","31","-5","13"
"198482","54881","4","4","2","0","2","117","60","57","13","9","4","11"
"198482","82192","5","2","2","0","0","70","34","36","12","6","6","10"
"198482","54907","6","3","1","0","2","91","146","-55","15","22","-7","7"
"198482","54878","7","1","1","0","0","50","0","50","9","0","9","5"
"198482","81580","8","1","1","0","0","54","48","6","8","8","0","5"
"198482","55489","9","2","1","0","1","48","76","-28","7","6","1","5"
"198482","54864","10","2","1","0","1","15","60","-45","3","11","-8","4"
"198482","54900","11","2","0","1","1","10","52","-42","2","8","-6","2"
"198482","54876","12","1","0","0","1","28","36","-8","4","6","-2","1"
"198482","57531","13","1","0","0","1","34","43","-9","6","7","-1","1"
"198482","54908","14","2","0","0","2","10","45","-35","2","9","-7","1"
"198482","82025","15","0","0","0","0","0","0","0","0","0","0","0"
"198482","60059","16","0","0","0","0","0","0","0","0","0","0","0"
"198482","60052","17","0","0","0","0","0","0","0","0","0","0","0"
"198482","72038","18","0","0","0","0","0","0","0","0","0","0","0"
"198482","54887","19","0","0","0","0","0","0","0","0","0","0","0"
"198482","54866","20","1","0","0","1","12","22","-10","0","0","0","0"
"205507","57517","1","2","1","0","1","86","36","50","10","1","9","6"
"205507","57517","2","2","1","0","1","36","86","-50","1","10","-9","4"
"205455","60059","1","0","0","0","0","0","0","0","0","0","0","0"
"205455","60052","2","0","0","0","0","0","0","0","0","0","0","0"
"205455","60046","3","0","0","0","0","0","0","0","0","0","0","0"
"205455","82025","4","0","0","0","0","0","0","0","0","0","0","0"
"205455","57531","5","0","0","0","0","0","0","0","0","0","0","0"
"205455","82025","6","0","0","0","0","0","0","0","0","0","0","0"
"205455","82025","7","0","0","0","0","0","0","0","0","0","0","0"
"205455","82025","8","0","0","0","0","0","0","0","0","0","0","0"
"205455","59168","9","0","0","0","0","0","0","0","0","0","0","0"
"205455","59172","10","0","0","0","0","0","0","0","0","0","0","0"
"205455","83960","11","0","0","0","0","0","0","0","0","0","0","0"
"202895","54901","1","2","2","0","0","62","10","52","9","2","7","10"
"202895","54891","2","2","1","0","1","36","24","12","6","4","2","5"
"202895","55720","3","3","1","0","2","37","85","-48","7","13","-6","5"
"202895","54912","4","3","1","0","2","48","64","-16","8","11","-3","4"
"202121","54884","1","2","2","0","0","161","5","156","23","1","22","10"
"202121","54866","2","2","1","1","0","29","16","13","5","3","2","7"
"202121","54866","3","2","1","1","0","42","28","14","0","0","0","6"
"202121","54899","4","3","1","0","2","61","140","-79","10","22","-12","5"
"202121","54893","5","2","0","0","2","46","136","-90","8","20","-12","2"
"202121","54907","6","0","0","0","0","0","0","0","0","0","0","0"
"202121","54862","7","0","0","0","0","0","0","0","0","0","0","0"
"202121","54881","8","1","0","0","1","28","42","-14","0","0","0","0"
"202119","54911","1","1","1","0","0","12","5","7","2","1","1","4"
"202119","82192","2","1","0","1","0","0","0","0","0","0","0","2"
"202119","81580","3","1","0","1","0","0","0","0","0","0","0","2"
"202119","54876","4","1","0","0","1","5","12","-7","1","2","-1","1"
"202118","81580","1","3","1","2","0","48","14","34","8","2","6","9"
"202118","82192","2","3","1","1","1","64","63","1","2","8","-6","6"
"202118","54876","3","1","0","1","0","0","0","0","0","0","0","2"
"202118","54911","4","1","0","0","1","15","50","-35","0","0","0","0"
"200919","77872","1","0","0","0","0","0","0","0","0","0","0","0"
"200919","88563","2","0","0","0","0","0","0","0","0","0","0","0"
"200919","60466","3","0","0","0","0","0","0","0","0","0","0","0"
"200919","60464","4","0","0","0","0","0","0","0","0","0","0","0"
"200919","60465","5","0","0","0","0","0","0","0","0","0","0","0"
"200919","54904","6","0","0","0","0","0","0","0","0","0","0","0"
"200901","82192","1","2","2","0","0","41","17","24","7","3","4","9"
"200901","54867","2","2","1","0","1","43","41","2","6","6","0","6"
"200901","54861","3","3","1","0","2","27","48","-21","4","8","-4","5"
"200901","54907","4","1","0","0","1","31","36","-5","5","5","0","2"
"197485","54907","1","13","12","1","0","505","246","259","68","34","34","4.615"
"197485","54905","2","14","10","1","3","430","283","147","66","43","23","3.714"
"197485","71003","3","13","8","1","4","471","320","151","77","52","25","3.538"
"197485","54884","4","14","8","0","6","404","270","134","63","39","24","3.214"
"197485","54911","5","15","7","1","7","351","388","-37","45","48","-3","2.467"
"197485","54866","6","13","5","1","7","312","373","-61","43","55","-12","2.308"
"197485","54867","7","14","6","0","8","344","415","-71","49","62","-13","2.286"
"197485","54864","8","12","2","1","9","265","434","-169","39","62","-23","1.500"
"197485","54904","9","12","2","0","10","249","408","-159","38","63","-25","1.333"
"197485","54876","10","12","3","0","9","174","368","-194","25","55","-30","1.167"
"198475","55489","1","5","3","0","2","98","79","19","7","12","-5","13"
"198475","54908","2","4","2","0","2","151","138","13","16","17","-1","11"
"198475","54911","3","2","2","0","0","86","5","81","14","1","13","10"
"198475","54881","4","2","2","0","0","84","24","60","14","4","10","10"
"198475","54867","5","3","2","0","1","60","63","-3","10","11","-1","9"
"198475","77872","6","3","2","0","1","67","81","-14","9","5","4","9"
"198475","54872","7","4","1","1","2","85","117","-32","9","11","-2","7"
"198475","54871","8","3","1","1","1","25","56","-31","3","9","-6","6"
"198475","54889","9","1","1","0","0","83","10","73","13","2","11","5"
"198475","54868","10","1","1","0","0","75","5","70","13","1","12","5"
"198475","54862","11","2","1","0","1","74","55","19","12","9","3","5"
"198475","54904","12","1","1","0","0","24","7","17","4","1","3","5"
