"id","name","logo_url"
"61519","Assassins","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61519/Assassins_Logo.png"
"61522","Brandon Barbarians","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61522/download.png"
"58666","Brumbies","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58666/brumbies logo.png"
"81077","Deer Lodge","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/81077/cropped-Deer-Lodge-Logo-2015-smx-copy-1-2.jpg"
"61520","Eastman Warriors Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61520/warriors - crest (1).png"
"87470","Interlake RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man%20Rugby%20Shield%20Logo%203%20clr.png"
"92804","Manitoba","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man%20Rugby%20Shield%20Logo%203%20clr.png"
"62166","Manitoba Association of Rugby Referees","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man%20Rugby%20Shield%20Logo%203%20clr.png"
"74332","Manitoba Junior Rugby Association","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man%20Rugby%20Shield%20Logo%203%20clr.png"
"90979","Maskwa Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man%20Rugby%20Shield%20Logo%203%20clr.png"
"81078","Minnedosa Sharks","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/81078/1236233_418404718269593_529154511_n.jpg"
"61526","Parkland Pirates / Mavericks","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61526/22007812_292366341246445_1816543444711216666_n.jpg"
"65264","Parkland Pirates Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man%20Rugby%20Shield%20Logo%203%20clr.png"
"68418","Pembina Valley Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/68418/61686084_344726872857864_183042426594656256_n.png"
"87178","Portage Wolves","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/87178/Portage wolves logo.jpg"
"62085","Rugby Manitoba","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man Rugby Shield Logo 3 clr.png"
"61524","Saracens","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61524/Screen Shot 2017-12-05 at 11.24.22 AM.png"
"92805","Saskatchewan","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man%20Rugby%20Shield%20Logo%203%20clr.png"
"61525","Souris Sabres","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61525/Souris Rugby Logo.jpg"
"61527","South End Lions Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62085/Man%20Rugby%20Shield%20Logo%203%20clr.png"
"61518","Sturgeon Creek Rowdies","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61518/Rowdies 2025 Logo.jpg"
"58667","Wanderers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58667/WanderersLogo1.jpg"
"61521","Wasps","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61521/wasps.png"
"58668","Wombats/Brumbies","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58668/DC58A219-D913-4022-8515-94554E3DBDE9.jpeg"
