"id","name","logo_url"
"85809","Bright & Lion Rugby Football Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/85809/BLRFC_LOGO.jpeg"
"59167","Charlottetown Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/59167/download.jfif"
"58927","Dartmouth East Rugby Union","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58927/Screen Shot 2018-01-31 at 8.38.59 PM.png"
"58672","Enfield","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58672/Enfield Rugby Club.jpg"
"58929","Halifax","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58929/halifax.png"
"58674","Halifax Tars","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58674/Halifax Tars.jpeg"
"62086","Nova Scotia Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/62086/10786688224.jpg"
"58930","Pictou County","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58930/Pictou County Rugby Club.jfif"
"58931","Riverlake","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58931/logo-nobackground-200.png"
"90773","Tri-County Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/90773/TCRFC Tridents Logo (3).png"
"58932","Truro Saints","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58932/New Saints.png"
"58934","Valley Rugby Union","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/58934/VRUCrest.png"
