"league_id","home_id","away_id","date","time","venue"
"205548","59167","58934","2025-05-31","17:00","Charlottetown"
"205548","58674","58934","2025-06-07","13:00","Graves 1"
"205548","58929","58672","2025-06-14","15:15","St Francis Field"
"205548","58674","59167","2025-06-14","17:00","Graves 1"
"205548","58930","58934","2025-06-15","15:00","Parkdale Field"
"205548","58672","59167","2025-06-21","15:00","Enfield Lions Den"
"205548","58929","58934","2025-06-21","15:00","St Francis Field"
"205548","58674","58930","2025-06-21","16:00","Graves 1"
"205548","59167","58930","2025-06-28","16:00","Charlottetown"
"205548","58934","58674","2025-06-28","18:00","KES"
"205548","58672","58929","2025-06-29","15:00","Enfield Lions Den"
"205548","58930","58672","2025-07-12","15:00","Parkdale Field"
"205548","58674","58929","2025-07-12","17:00","Graves 1"
"205548","59167","58674","2025-07-19","15:00","Co-op"
"205548","58934","58672","2025-07-19","17:00","Port Williams"
"205548","58929","58930","2025-07-26","16:00","St Francis Field"
"205548","58674","58672","2025-07-26","17:00","Graves 1"
"205548","58934","59167","2025-07-27","17:00","Port Williams"
"205548","58934","58930","2025-08-10","14:00","Port Williams"
"205548","58929","58674","2025-08-10","15:00","St Francis Field"
"205548","59167","58672","2025-08-10","16:00","Co-op"
"205548","58672","58934","2025-08-16","13:00","Enfield Lions Den"
"205548","59167","58929","2025-08-16","14:00","Co-op"
"205548","58930","58674","2025-08-16","15:00","Parkdale Field"
"205549","58674","59167","2025-06-14","15:00","Graves 1"
"205549","58929","58934","2025-06-14","17:30","St Francis Field"
"205549","59167","58929","2025-06-21","13:00","Charlottetown"
"205549","58934","58674","2025-06-28","16:00","KES"
"205549","58934","58929","2025-07-08","18:00","Port Williams"
"205549","58674","58929","2025-07-12","15:00","Graves 1"
"205549","59167","58674","2025-07-19","13:00","Co-op"
"205549","58929","58674","2025-07-26","12:00","St Francis Field"
"205549","58934","59167","2025-07-27","15:00","Port Williams"
"205550","58929","58927","2025-06-14","10:30","St Francis Field"
"205550","58674","59167","2025-06-14","13:00","Graves 1"
"205550","58932","58934","2025-06-22","15:00","Truro"
"205550","58931","58929","2025-06-28","11:00","Range Park"
"205550","59167","58927","2025-06-28","14:00","Charlottetown"
"205550","58934","58674","2025-06-28","14:00","KES"
"205550","58674","58929","2025-07-12","13:00","Graves 1"
"205550","58931","58934","2025-07-12","13:00","Range Park"
"205550","58927","58932","2025-07-12","15:00","Ira Settle"
"205550","58932","58931","2025-07-19","13:00","Truro"
"205550","58934","58927","2025-07-19","13:00","Port Williams"
"205550","58931","58674","2025-07-26","11:00","Range Park"
"205550","58932","59167","2025-07-26","15:00","Truro"
"205550","58934","58929","2025-07-27","13:00","Port Williams"
"205550","58929","58932","2025-08-10","13:00","St Francis Field"
"205550","59167","58931","2025-08-10","14:00","Co-op"
"205551","58674","58672","2025-06-14","11:00","Graves 1"
"205551","58929","58927","2025-06-14","12:40","St Francis Field"
"205551","58927","58929","2025-06-21","13:00","Ira Settle"
"205551","58672","58674","2025-06-21","13:00","Enfield Lions Den"
"205551","58672","58929","2025-06-27","18:30","Enfield Lions Den"
"205551","58927","58674","2025-06-29","12:00","Ira Settle"
"205551","58674","58929","2025-07-12","11:00","Graves 1"
"205551","58927","58672","2025-07-12","13:00","Ira Settle"
"205551","58929","58674","2025-07-17","18:30","St Francis Field"
"205551","58672","58927","2025-07-19","13:00","Enfield Lions Den"
"205551","58929","58672","2025-07-26","14:00","St Francis Field"
"205551","58674","58927","2025-07-26","15:00","Graves 1"
"205552","58931","58932","2025-06-14","13:00","Range Park"
"205552","58930","58934","2025-06-15","13:00","Parkdale Field"
"205552","58930","58931","2025-06-22","13:00","Parkdale Field"
"205552","58932","58934","2025-06-22","13:00","Truro"
"205552","58934","58932","2025-06-28","12:00","KES"
"205552","58931","58930","2025-06-28","13:00","Range Park"
"205552","58930","58932","2025-07-12","13:00","Parkdale Field"
"205552","58931","58934","2025-07-12","15:00","Range Park"
"205552","58932","58931","2025-07-19","15:00","Truro"
"205552","58934","58930","2025-07-19","15:00","Port Williams"
"205552","58932","58930","2025-07-26","13:00","Truro"
"205552","58934","58931","2025-07-27","11:00","Port Williams"
