"league_id","team_id","pos","pld","w","d","l","pf","pa","diff","tf","ta","td","pts"
"205548","58929","1","5","4","0","1","173","120","53","25","19","6","17"
"205548","58674","2","4","4","0","0","234","18","216","38","3","35","16"
"205548","59167","3","4","2","0","2","104","159","-55","16","25","-9","9"
"205548","58930","4","5","2","0","3","136","176","-40","21","28","-7","9"
"205548","58672","5","4","1","0","3","95","166","-71","14","26","-12","4"
"205548","58934","6","4","0","0","4","42","145","-103","7","20","-13","0"
"205549","58674","1","2","2","0","0","90","31","59","16","5","11","10"
"205549","58934","2","3","2","0","1","76","68","8","11","12","-1","10"
"205549","58929","3","2","1","0","1","52","53","-1","8","9","-1","7"
"205549","59167","4","3","0","0","3","46","112","-66","8","17","-9","2"
"205550","58674","1","3","3","0","0","149","34","115","8","6","2","12"
"205550","59167","2","3","2","0","1","182","50","132","30","8","22","9"
"205550","58927","3","3","2","0","1","103","42","61","17","6","11","8"
"205550","58932","4","2","1","0","1","64","112","-48","10","3","7","4"
"205550","58931","5","1","0","0","1","10","51","-41","2","9","-7","0"
"205550","58934","6","2","0","0","2","31","126","-95","5","20","-15","0"
"205550","58929","7","2","0","0","2","14","138","-124","2","22","-20","0"
"205551","58674","1","1","1","0","0","62","17","45","10","3","7","5"
"205551","58927","2","1","1","0","0","34","17","17","6","3","3","5"
"205551","58929","3","1","0","0","1","17","34","-17","3","6","-3","0"
"205551","58672","4","1","0","0","1","17","62","-45","3","10","-7","0"
"205552","58934","1","2","2","0","0","105","39","66","17","7","10","10"
"205552","58931","2","1","1","0","0","79","40","39","15","8","7","5"
"205552","58932","3","2","0","0","2","62","120","-58","12","22","-10","2"
"205552","58930","4","1","0","0","1","17","64","-47","3","10","-7","0"
"205553","58931","1","1","1","0","0","40","24","16","6","4","2","5"
"205553","88218","2","1","0","0","1","30","31","-1","5","4","1","2"
"205553","85809","3","1","0","0","1","24","40","-16","4","6","-2","1"
"205553","91046","4","0","0","0","0","0","0","0","0","0","0","0"
"205554","85809","1","2","1","0","1","61","99","-38","7","6","1","5"
"205554","58934","2","1","1","0","0","69","26","43","0","0","0","4"
"205554","58931","3","1","0","0","1","30","35","-5","6","7","-1","2"
