"id","name","logo_url"
"55758","Ajax Wanderers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55758/AjaxWanderers.jpg"
"55759","Aurora Barbarians","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55759/Aurora Logo.jpg"
"55760","Balmy Beach","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55760/Balmy Beach.png"
"55761","Barrhaven Scottish","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55761/BSRFC Logo.jpg"
"55762","Barrie RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55762/Barrie.png"
"55763","Bay Street Pigs","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55763/Bay Street Pigs.jpeg"
"55764","Belleville Bulldogs","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55764/Belleville Bulldogs.png"
"55765","Brampton Beavers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55765/Brampton Beavers.png"
"55766","Brantford Harlequins","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55766/Brantford Harlequins.png"
"55767","Brock RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55767/Brock RFC.png"
"55768","Brockville Privateers RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55768/Brockville Privateers .png"
"55769","Bruce County Rugby Football Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55769/Bruce County RFC.png"
"55770","Burlington Centaurs","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55770/burlington_centaurs.jpg"
"55771","Bytown Blues","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55771/Blues-logo-Trans.png"
"82814","Caledon Cavaliers RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/82814/y3ow3kNQ.png"
"68382","Canada Misfit Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/68382/jIqd2LNQ_400x400.jpg"
"61684","Canada Touch Rugby","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61684/CTR Logo.jpg"
"83933","Canadian Jax Unified Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/83933/Canadian Jax1.jpg"
"55772","Cobourg Saxons","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55772/Cobourg.jpg"
"55773","Cornwall RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55773/CornwallRFC_Logo.jpg"
"55775","Crusaders Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55775/CrusadersV7.jpg"
"86741","Eastern Ontario Rugby Union (EORU)",""
"55777","Fergus Highland","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55777/Highland RFC.png"
"55778","Georgian Bay Titans","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55778/Georgian Bay.png"
"55779","Grimsby RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55779/logo2.jpg"
"55780","Guelph RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55780/Guelph Goats (1).png"
"55781","Hamilton Hornets","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55781/Hamilton Hornets.png"
"55782","Kent Havoc","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55782/kent havoc copy.png"
"55783","Kingston Panthers","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55783/Kingston Panthers.jpg"
"55784","Lanark Highlanders","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55784/2020 Highlander Logo.jpg"
"55785","Lindsay RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55785/LRFC.png"
"55786","London St George","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55786/London St. Georges.jpg"
"55787","Markham Irish Canadian RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55787/Markham Irish CRC.jpg"
"83934","Middlesex-Huron Youth Rugby",""
"55788","Mississauga Blues","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55788/Mississauga Blues.jpg"
"55789","Niagara Old Boys","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55789/logo_2.png"
"86742","Niagara Rugby Union (NRU)","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/86742/NRU.png"
"55790","Niagara Wasps","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55790/Niagara Rugby Club.jpg"
"55791","Norfolk Harvesters","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55791/NCRFC Roundel Logo 2.jpg"
"55792","North Halton","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55792/NHRFC CREST 2024.png"
"61415","Ontario Rugby Club","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/61415/Facebook Icon - Copy.jpg"
"55793","Oshawa Vikings","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55793/vikings rugby logo.png"
"55796","Ottawa Irish","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55796/Ottawa Irish1.jpg"
"55795","Ottawa Ospreys RFC","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55795/ottawa ospreys rfc.png"
"55797","Ottawa Senators Old Boys","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55797/Ottawa Senators.jpg"
"55798","Ottawa Wolves","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/55798/url.png"
"68383","Owen Sound","https://sportlomo-userupload.s3.amazonaws.com/clubLogos/68383/OSRC-Yellow.jpg"
