"id","name"
"203510","EORU Men Championship"
"203475","EORU Men Premiership"
"203509","EORU Women Premiership"
"200540","Exhibition - Senior Men"
"200720","Exhibition - Senior Women"
"205272","Exhibition - U14"
"202744","Exhibition - U16 Boys"
"202745","Exhibition - U16 Girls"
"202742","Exhibition - U18 Boys"
"202743","Exhibition - U18 Girls"
"200597","Junior Provincial Cup - U16 Boys"
"200596","Junior Provincial Cup - U16 Girls"
"200599","Junior Provincial Cup - U18 Boys"
"200598","Junior Provincial Cup - U18 Girls"
"205678","Junior Regional Cup - U16 Boys"
"200593","Marshall Championship"
"202252","Marshall Championship 2XV"
"200592","Marshall Premiership"
"202265","Marshall Premiership 2XV"
"204607","Marshall Premiership 3XV"
"204881","Masters Rugby - EORU"
"204812","Masters Rugby - Men"
"205631","Mixed Abilities Rugby"
"202582","NRU Men Championship"
"202358","NRU Men Premiership"
"202359","NRU Women Premiership"
"200595","OWL Championship"
"204608","OWL Championship 2XV"
"200594","OWL Premiership"
"202262","OWL Premiership 2XV"
"202267","TRU Men Championship"
"202257","TRU Men Premiership"
"202584","TRU Women Premiership"
"205443","U19 Inter-Branch"
"205564","Youth - U12 Festival"
"205565","Youth - U14 Festival (Boys and Girls)"
"205515","Youth U14 - Girls (13s)"
