"league_id","home_id","away_id","date","time","venue"
"204904","58866","58854","2025-06-28","13:00","Ste-Julie"
"204904","58855","58854","2025-07-05","12:00","Grant Bishops College"
"204904","58862","58866","2025-07-05","12:00","Ecole St-Georges"
"204904","58860","58855","2025-07-12","00:00","École secondaire De Rochebelle"
"204904","58862","58854","2025-07-12","12:00","Ecole St-Georges"
"204904","58862","58855","2025-07-26","12:00","Ecole St-Georges"
"204904","58866","58860","2025-07-26","13:00","Ste-Julie"
"204904","58855","58866","2025-08-02","12:00","Grant Bishops College"
"204904","58860","58854","2025-08-02","12:00","École secondaire De Rochebelle"
"204875","58659","90651","2025-06-07","15:00","Parc King George"
"204875","58855","58659","2025-07-05","15:00","Grant Bishops College"
"204875","90651","58866","2025-07-05","15:30","Heritage College"
"204875","58873","58658","2025-07-05","17:30","Parc Henri-Julien"
"204875","58855","90651","2025-07-12","00:00","Grant Bishops College"
"204875","58866","58658","2025-07-12","15:00","Ste-Julie"
"204875","58659","58873","2025-07-12","15:00","Parc King George"
"204875","58658","58855","2025-07-19","14:30","Parc Riverside"
"204875","58866","58873","2025-07-19","15:00","Ste-Julie"
"204875","90651","58659","2025-07-19","15:00","Heritage College"
"204875","58873","58855","2025-08-02","14:00","Parc Henri-Julien"
"204875","58659","58866","2025-08-02","15:00","Parc King George"
"204875","58658","90651","2025-08-03","15:00","Hopital Douglas"
"204877","90651","58873","2025-06-28","12:00","Heritage College"
"204877","58855","58659","2025-07-05","13:30","Grant Bishops College"
"204877","90651","58866","2025-07-05","14:00","Heritage College"
"204877","58873","58658","2025-07-05","15:00","Parc Henri-Julien"
"204877","58855","90651","2025-07-12","00:00","Grant Bishops College"
"204877","58866","58658","2025-07-12","13:00","Ste-Julie"
"204877","58659","58873","2025-07-12","13:30","Parc King George"
"204877","58866","58873","2025-07-19","13:00","Ste-Julie"
"204877","58658","58855","2025-07-19","13:00","Parc Riverside"
"204877","90651","58659","2025-07-19","13:30","Heritage College"
"204877","58873","58855","2025-08-02","12:00","Parc Henri-Julien"
"204877","58659","58866","2025-08-02","13:30","Parc King George"
"204877","58658","90651","2025-08-03","13:30","Hopital Douglas"
"204905","58857","58955","2025-06-28","15:00","Academie les Estacades"
"204905","58872","58658","2025-06-28","15:00","Cegep Vanier"
"204905","58872","58657","2025-07-05","10:00","Cegep Vanier"
"204905","58870","58857","2025-07-05","13:00","Parc Henri-Julien"
"204905","58955","58658","2025-07-05","13:00","St-Georges Lumberjacks"
"204905","58860","58854","2025-07-05","15:00","École secondaire De Rochebelle"
"204905","58860","58872","2025-07-12","00:00","École secondaire De Rochebelle"
"204905","58657","58854","2025-07-12","10:00","PARC SUNNYBROOKE"
"204905","58955","58870","2025-07-12","13:00","St-Georges Lumberjacks"
"204905","58857","58658","2025-07-12","15:00","Academie les Estacades"
"204905","58854","58658","2025-07-26","12:00","Beaconsfield HS"
"204905","58657","58857","2025-07-26","12:00","PARC SUNNYBROOKE"
"204905","58870","58872","2025-07-26","13:00","Parc Henri-Julien"
"204905","58955","58860","2025-07-26","13:00","St-Georges Lumberjacks"
"204905","58854","58872","2025-08-02","10:00","Beaconsfield HS"
"204905","58657","58860","2025-08-02","12:00","PARC SUNNYBROOKE"
"204905","58658","58870","2025-08-03","12:00","Hopital Douglas"
"204906","58871","58857","2025-07-05","13:00","Ste-Julie"
"204906","58858","58869","2025-07-05","15:00","Lions Park"
"204906","58857","58867","2025-07-12","13:00","Academie les Estacades"
"204906","58869","58871","2025-07-12","15:00","Chateauguay Valley Reg HS"
"204906","58869","58867","2025-07-19","14:00","Chateauguay Valley Reg HS"
"204906","58871","58858","2025-07-19","15:00","Ste-Julie"
"204906","58867","58871","2025-07-26","13:00","École Secondaire Curé-Mercure"
"204906","58858","58857","2025-08-02","15:00","Lions Park"
"204907","90651","58866","2025-07-05","11:00","Heritage College"
"204907","58869","83076","2025-07-05","12:00","Chateauguay Valley Reg HS"
"204907","58659","58867","2025-07-05","12:00","Parc King George"
"204907","90651","83076","2025-07-12","12:00","Heritage College"
"204907","58659","58869","2025-07-12","12:00","Parc King George"
"204907","58866","58867","2025-07-12","13:00","Ste-Julie"
"204907","58869","90651","2025-07-19","12:00","Chateauguay Valley Reg HS"
"204907","58866","58659","2025-07-19","13:00","Ste-Julie"
"204907","83076","58867","2025-07-19","13:30","Parc Billings"
"204907","83076","58866","2025-08-02","11:30","Parc Billings"
"204907","58869","58867","2025-08-02","12:00","Chateauguay Valley Reg HS"
"204907","58659","90651","2025-08-02","12:00","Parc King George"
"204908","58868","58862","2025-05-24","11:30","Parc Etienne Desmarteau"
"204908","58862","92524","2025-06-28","10:30","Ecole St-Georges"
"204908","58657","58868","2025-06-28","15:00","PARC SUNNYBROOKE"
"204908","58862","58871","2025-07-05","10:30","Ecole St-Georges"
"204908","58868","92524","2025-07-05","11:30","Parc Etienne Desmarteau"
"204908","58861","58657","2025-07-05","15:00","Parc Chênier"
"204908","58862","58868","2025-07-12","10:30","Ecole St-Georges"
"204908","58871","58657","2025-07-12","11:00","Ste-Julie"
"204908","92524","58861","2025-07-12","16:00","Parc Villeray"
"204908","58868","58871","2025-07-17","20:00","Parc Etienne Desmarteau"
"204908","58657","92524","2025-07-19","15:00","PARC SUNNYBROOKE"
"204908","58861","58862","2025-07-19","15:00","Parc Chênier"
"204908","58871","92524","2025-07-26","11:00","Ste-Julie"
"204908","58657","58862","2025-07-26","15:00","PARC SUNNYBROOKE"
"204908","58861","58868","2025-08-02","15:00","Parc Chênier"
