"league_id","team_id","pos","pld","w","d","l","pf","pa","diff","tf","ta","td","pts"
"204904","58866","1","6","6","0","0","249","63","186","38","10","28","29"
"204904","58854","2","5","3","0","2","180","79","101","27","12","15","16"
"204904","58855","3","4","2","0","2","66","84","-18","11","14","-3","9"
"204904","58860","4","4","1","0","3","95","90","5","15","14","1","6"
"204904","58862","5","5","0","0","5","24","298","-274","4","45","-41","0"
"204875","58658","1","7","7","0","0","258","142","116","38","21","17","34"
"204875","58866","2","6","5","0","1","247","70","177","39","9","30","27"
"204875","58855","3","7","3","0","4","176","181","-5","26","28","-2","16"
"204875","90651","4","5","2","1","2","164","156","8","26","23","3","14"
"204875","58873","5","7","1","1","5","145","240","-95","18","37","-19","10"
"204875","58659","6","6","0","0","6","58","259","-201","10","39","-29","2"
"204877","58866","1","6","5","0","1","201","48","153","33","8","25","25"
"204877","58855","2","5","4","0","1","127","75","52","17","10","7","18"
"204877","58658","3","6","3","0","3","130","72","58","21","11","10","15"
"204877","58873","4","5","3","0","2","113","78","35","15","12","3","14"
"204877","90651","5","4","1","0","3","31","189","-158","4","29","-25","5"
"204877","58659","6","6","0","0","6","0","140","-140","0","20","-20","0"
"204905","58955","1","7","6","0","1","331","90","241","50","11","39","30"
"204905","58870","2","6","6","0","0","232","36","196","37","6","31","29"
"204905","58658","3","6","5","0","1","293","93","200","47","14","33","27"
"204905","58857","4","6","4","0","2","178","160","18","27","26","1","20"
"204905","58854","5","7","2","0","5","124","173","-49","18","27","-9","10"
"204905","58872","6","6","2","0","4","100","221","-121","14","31","-17","9"
"204905","58860","7","7","1","0","6","67","285","-218","11","48","-37","5"
"204905","58657","8","7","0","0","7","67","334","-267","11","52","-41","1"
"204906","58871","1","4","4","0","0","103","41","62","15","7","8","18"
"204906","58857","2","5","3","1","1","154","78","76","23","10","13","17"
"204906","58858","3","5","2","0","3","106","98","8","13","14","-1","11"
"204906","58869","4","5","1","1","3","99","132","-33","15","20","-5","7"
"204906","58867","5","5","1","0","4","85","198","-113","13","28","-15","5"
"204907","58866","1","6","6","0","0","188","48","140","30","8","22","27"
"204907","83076","2","6","4","0","2","170","113","57","28","19","9","21"
"204907","58867","3","6","3","0","3","172","183","-11","26","29","-3","16"
"204907","90651","4","6","2","0","4","146","151","-5","24","23","1","11"
"204907","58869","5","6","2","0","4","115","242","-127","17","38","-21","10"
"204907","58659","6","6","1","0","5","72","126","-54","12","20","-8","6"
"204908","92524","1","6","6","0","0","239","32","207","39","5","34","29"
"204908","58862","2","6","4","0","2","183","154","29","29","23","6","19"
"204908","58861","3","6","3","0","3","192","141","51","26","22","4","16"
"204908","58868","4","5","3","0","2","233","93","140","32","15","17","15"
"204908","58871","5","7","2","0","5","124","211","-87","20","32","-12","11"
"204908","58657","6","6","0","0","6","24","364","-340","4","53","-49","0"
"204705","58854","1","7","7","0","0","343","108","235","52","13","39","34"
"204705","58872","2","7","6","0","1","192","100","92","25","11","14","30"
"204705","58870","3","7","3","0","4","138","170","-32","14","23","-9","13"
"204705","58860","4","7","2","0","5","143","182","-39","20","26","-6","13"
"204705","58862","5","7","2","0","5","150","289","-139","20","40","-20","10"
"204705","58868","6","7","1","0","6","114","231","-117","11","29","-18","5"
"204706","58870","1","7","6","0","1","180","98","82","29","13","16","29"
"204706","58854","2","6","5","0","1","182","88","94","29","13","16","25"
"204706","58868","3","6","4","0","2","172","99","73","23","17","6","19"
"204706","58872","4","7","3","0","4","147","119","28","37","16","21","17"
"204706","58862","5","7","1","0","6","122","174","-52","22","43","-21","7"
"204706","58860","6","7","1","0","6","36","261","-225","6","44","-38","4"
"204704","58860","1","7","6","0","1","267","107","160","42","17","25","31"
"204704","58872","2","7","4","0","3","146","169","-23","24","26","-2","18"
"204704","58862","3","5","1","0","4","90","112","-22","15","18","-3","7"
"204704","90651","4","5","1","0","4","72","187","-115","10","30","-20","5"
