"league_id","team_id","pos","pld","w","d","l","pf","pa","diff","tf","ta","td","pts","division"
"77390fac-c162-47e4-9f91-b4bf5151b938","d6627ecd-a2c7-4eb2-9255-1a2c9ea73840","1","6","6","0","0","182","54","128.0","","","","24.0","Sud-Ouest"
"77390fac-c162-47e4-9f91-b4bf5151b938","01c83f3e-efe3-4d3b-8864-5f79ac764329","2","6","4","0","2","169","82","87.0","","","","18.0","Sud-Ouest"
"77390fac-c162-47e4-9f91-b4bf5151b938","28daff3d-3fbc-4f00-9092-f87940c4232d","3","6","3","0","3","65","124","-59.0","","","","12.0","Sud-Ouest"
"77390fac-c162-47e4-9f91-b4bf5151b938","6aacdf88-aad8-4e59-a052-1bb3ca919973","4","6","2","0","4","79","145","-66.0","","","","9.0","Sud-Ouest"
"77390fac-c162-47e4-9f91-b4bf5151b938","897495b8-1451-4510-8ce4-6038228aedca","5","6","0","0","6","55","145","-90.0","","","","2.0","Sud-Ouest"
"a7e8232c-9d47-49cc-b578-1482d0f34bce","fa2f2d1e-bf65-4179-8e4e-959f0c2ffa42","1","9","9","0","0","210","90","120.0","","","","50.0","Nord-Est"
"a7e8232c-9d47-49cc-b578-1482d0f34bce","0b1a8430-d0d4-47b7-afcb-ba99d4818cb8","2","9","5","2","2","163","121","42.0","","","","37.0","Nord-Est"
"a7e8232c-9d47-49cc-b578-1482d0f34bce","478f9c84-0ce1-4d2f-a6fa-2b9163152a63","3","9","5","0","4","145","142","3.0","","","","32.0","Nord-Est"
"a7e8232c-9d47-49cc-b578-1482d0f34bce","07856c1b-26b9-447b-83e5-938cecd3673b","4","9","3","1","5","139","148","-9.0","","","","24.0","Nord-Est"
"a7e8232c-9d47-49cc-b578-1482d0f34bce","658fb115-60f3-4b9d-8d25-25852aec61a0","5","9","1","2","6","106","167","-61.0","","","","21.0","Nord-Est"
"a7e8232c-9d47-49cc-b578-1482d0f34bce","b4f9a25c-b6e3-4529-94b0-e4bafc4d9686","6","9","1","1","7","109","204","-95.0","","","","17.0","Nord-Est"
"a87e9fe1-3972-42eb-be01-b19f1304c3b4","e635ab97-3ddf-47c6-8b1b-10aa0eb30679","1","6","5","0","1","196","64","132.0","","","","20.0","Sud-Ouest"
"a87e9fe1-3972-42eb-be01-b19f1304c3b4","e4a5282d-4093-4c43-98ef-103912518fc9","2","6","5","0","1","166","94","72.0","","","","20.0","Sud-Ouest"
"a87e9fe1-3972-42eb-be01-b19f1304c3b4","22c1dc92-c684-4528-ac31-154ff5d0daaa","3","6","2","0","4","110","134","-24.0","","","","8.0","Sud-Ouest"
"a87e9fe1-3972-42eb-be01-b19f1304c3b4","8d0be92f-fbe0-454b-a35f-a366282ecade","4","6","0","0","6","30","210","-180.0","","","","0.0","Sud-Ouest"
