league_id,home_id,away_id,date,time,venue
204904,58854,58866,07/06/2025,12:00,Beaconsfield HS
204904,58862,58860,07/06/2025,12:00,Ecole St-Georges
204904,58854,58860,14/06/2025,12:00,Beaconsfield HS
204904,58866,58855,14/06/2025,15:00,Ste-Julie
204904,58866,58854,28/06/2025,13:00,Ste-Julie
204904,58860,58862,28/06/2025,15:00,École secondaire De Rochebelle
204904,58855,58854,05/07/2025,12:00,Grant Bishops College
204904,58862,58866,05/07/2025,12:00,Ecole St-Georges
204904,58860,58855,12/07/2025,00:00,École secondaire De Rochebelle
204904,58862,58854,12/07/2025,12:00,Ecole St-Georges
204904,58862,58855,26/07/2025,12:00,Ecole St-Georges
204904,58866,58860,26/07/2025,13:00,Ste-Julie
204904,58855,58866,02/08/2025,12:00,Grant Bishops College
204904,58860,58854,02/08/2025,12:00,École secondaire De Rochebelle
204875,58658,58866,31/05/2025,13:30,Parc Riverside
204875,90651,58855,31/05/2025,13:30,Heritage College
204875,58873,58659,31/05/2025,15:30,Parc Henri-Julien
204875,58855,58658,07/06/2025,15:00,Grant Bishops College
204875,58659,90651,07/06/2025,15:00,Parc King George
204875,58873,58866,07/06/2025,15:30,Parc Henri-Julien
204875,58866,58659,14/06/2025,13:00,Ste-Julie
204875,58855,58873,14/06/2025,15:00,Grant Bishops College
204875,90651,58658,14/06/2025,15:30,Heritage College
204875,58658,58659,27/06/2025,20:30,Parc Riverside
204875,90651,58873,28/06/2025,13:30,Heritage College
204875,58866,58855,28/06/2025,15:00,Ste-Julie
204875,58855,58659,05/07/2025,15:00,Grant Bishops College
204875,90651,58866,05/07/2025,15:30,Heritage College
204875,58873,58658,05/07/2025,17:30,Parc Henri-Julien
204875,58855,90651,12/07/2025,00:00,Grant Bishops College
204875,58866,58658,12/07/2025,15:00,Ste-Julie
204875,58659,58873,12/07/2025,15:00,Parc King George
204875,58658,58855,19/07/2025,14:30,Parc Riverside
204875,58866,58873,19/07/2025,15:00,Ste-Julie
204875,90651,58659,19/07/2025,15:00,Heritage College
204875,58873,58855,02/08/2025,14:00,Parc Henri-Julien
204875,58659,58866,02/08/2025,15:00,Parc King George
204875,58658,90651,03/08/2025,15:00,Hopital Douglas
204877,58658,58866,31/05/2025,12:00,Parc Riverside
204877,90651,58855,31/05/2025,12:00,Heritage College
204877,58873,58659,31/05/2025,13:30,Parc Henri-Julien
204877,58855,58658,07/06/2025,13:30,Grant Bishops College
204877,58659,90651,07/06/2025,13:30,Parc King George
204877,58873,58866,07/06/2025,13:30,Parc Henri-Julien
204877,58866,58659,14/06/2025,11:00,Ste-Julie
204877,58855,58873,14/06/2025,13:30,Grant Bishops College
204877,90651,58658,14/06/2025,14:00,Heritage College
204877,58658,58659,27/06/2025,19:00,Parc Riverside
204877,90651,58873,28/06/2025,12:00,Heritage College
204877,58866,58855,28/06/2025,13:00,Ste-Julie
204877,58855,58659,05/07/2025,13:30,Grant Bishops College
204877,90651,58866,05/07/2025,14:00,Heritage College
204877,58873,58658,05/07/2025,15:00,Parc Henri-Julien
204877,58855,90651,12/07/2025,00:00,Grant Bishops College
204877,58866,58658,12/07/2025,13:00,Ste-Julie
204877,58659,58873,12/07/2025,13:30,Parc King George
204877,58866,58873,19/07/2025,13:00,Ste-Julie
204877,58658,58855,19/07/2025,13:00,Parc Riverside
204877,90651,58659,19/07/2025,13:30,Heritage College
204877,58873,58855,02/08/2025,12:00,Parc Henri-Julien
204877,58659,58866,02/08/2025,13:30,Parc King George
204877,58658,90651,03/08/2025,13:30,Hopital Douglas
204905,58872,58870,24/05/2025,10:00,Cegep Vanier
204905,58657,58870,31/05/2025,10:00,PARC SUNNYBROOKE
204905,58854,58955,31/05/2025,12:00,Beaconsfield HS
204905,58857,58872,31/05/2025,15:00,Academie les Estacades
204905,58658,58860,31/05/2025,15:00,Parc Riverside
204905,58854,58857,14/06/2025,10:30,Beaconsfield HS
